model,num_exits,final_exit,label,threshold
3exit_nohint,3,3,car_crash,0.43
3exit_nohint,3,3,conversation,0.34
3exit_nohint,3,3,engine_idling,0.21
3exit_nohint,3,3,fireworks,0.09
3exit_nohint,3,3,gun_shot,0.23
3exit_nohint,3,3,rain,0.05
3exit_nohint,3,3,road_traffic,0.36
3exit_nohint,3,3,scream,0.47
3exit_nohint,3,3,thunderstorm,0.24
3exit_nohint,3,3,wind,0.54
5exit_nohint,5,5,car_crash,0.23
5exit_nohint,5,5,conversation,0.3
5exit_nohint,5,5,engine_idling,0.3
5exit_nohint,5,5,fireworks,0.19
5exit_nohint,5,5,gun_shot,0.21
5exit_nohint,5,5,rain,0.25
5exit_nohint,5,5,road_traffic,0.18
5exit_nohint,5,5,scream,0.57
5exit_nohint,5,5,thunderstorm,0.46
5exit_nohint,5,5,wind,0.33
3exit_nohint_posweight,3,3,car_crash,0.61
3exit_nohint_posweight,3,3,conversation,0.47
3exit_nohint_posweight,3,3,engine_idling,0.75
3exit_nohint_posweight,3,3,fireworks,0.42
3exit_nohint_posweight,3,3,gun_shot,0.77
3exit_nohint_posweight,3,3,rain,0.88
3exit_nohint_posweight,3,3,road_traffic,0.63
3exit_nohint_posweight,3,3,scream,0.51
3exit_nohint_posweight,3,3,thunderstorm,0.47
3exit_nohint_posweight,3,3,wind,0.41
5exit_nohint_posweight,5,5,car_crash,0.43
5exit_nohint_posweight,5,5,conversation,0.45
5exit_nohint_posweight,5,5,engine_idling,0.57
5exit_nohint_posweight,5,5,fireworks,0.64
5exit_nohint_posweight,5,5,gun_shot,0.74
5exit_nohint_posweight,5,5,rain,0.46
5exit_nohint_posweight,5,5,road_traffic,0.43
5exit_nohint_posweight,5,5,scream,0.65
5exit_nohint_posweight,5,5,thunderstorm,0.57
5exit_nohint_posweight,5,5,wind,0.58
