label,tuned_threshold,f1_fixed,f1_tuned,recall_fixed,recall_tuned,precision_fixed,precision_tuned
Brene_Brown,0.7,0.8562,0.8284,0.8333,0.74,0.8803,0.9407
Eckhart_Tolle,0.54,0.9517,0.9517,0.9481,0.9481,0.9552,0.9552
Eric_Thomas,0.67,0.8106,0.8339,0.9037,0.8741,0.7349,0.7973
Gary_Vee,0.26,0.904,0.9268,0.8421,0.9,0.9756,0.9553
Jay_Shetty,0.37,0.8536,0.8532,0.9308,0.95,0.7883,0.7743
Nick_Vujicic,0.65,0.8481,0.8477,0.8933,0.8533,0.8072,0.8421
other_speaker_present,0.46,0.6284,0.6242,0.6634,0.681,0.5968,0.5762
music_present,0.81,0.8928,0.894,0.9161,0.8544,0.8707,0.9375
audience_reaction_present,0.56,0.8875,0.8704,0.8292,0.7997,0.9546,0.9549
silence_present,0.4,0.6723,0.7218,0.5714,0.6857,0.8163,0.7619
