label,mean_precision,mean_recall,mean_f1,mean_support,mean_predicted_positive,global_max_precision,global_max_recall,global_max_f1,global_max_support,global_max_predicted_positive,label_aware_precision,label_aware_recall,label_aware_f1,label_aware_support,label_aware_predicted_positive
Brene_Brown,1.0,0.9315068493150684,0.9645390070921985,73,68,0.8,0.9863013698630136,0.8834355828220859,73,90,1.0,0.9315068493150684,0.9645390070921985,73,68
Eckhart_Tolle,1.0,0.9642857142857143,0.9818181818181818,84,81,0.9882352941176471,1.0,0.9940828402366864,84,85,1.0,0.9642857142857143,0.9818181818181818,84,81
Eric_Thomas,0.9027777777777778,0.9558823529411765,0.9285714285714286,68,72,0.44966442953020136,0.9852941176470589,0.6175115207373272,68,149,0.9027777777777778,0.9558823529411765,0.9285714285714286,68,72
Gary_Vee,1.0,0.9558823529411765,0.9774436090225563,68,65,0.8192771084337349,1.0,0.9006622516556292,68,83,1.0,0.9558823529411765,0.9774436090225563,68,65
Jay_Shetty,0.9278350515463918,1.0,0.9625668449197861,90,97,0.7142857142857143,1.0,0.8333333333333334,90,126,0.9278350515463918,1.0,0.9625668449197861,90,97
Nick_Vujicic,1.0,0.9591836734693877,0.9791666666666666,49,47,0.5212765957446809,1.0,0.6853146853146853,49,94,1.0,0.9591836734693877,0.9791666666666666,49,47
other_speaker_present,0.9156118143459916,0.9434782608695652,0.9293361884368309,460,474,0.7285714285714285,0.9978260869565218,0.8422018348623853,460,630,0.9156118143459916,0.9434782608695652,0.9293361884368309,460,474
music_present,0.963963963963964,0.9413489736070382,0.9525222551928784,341,333,0.7417943107221007,0.9941348973607038,0.849624060150376,341,457,0.963963963963964,0.9413489736070382,0.9525222551928784,341,333
audience_reaction_present,0.6666666666666666,0.06896551724137931,0.125,29,3,0.41025641025641024,0.5517241379310345,0.47058823529411764,29,39,0.41025641025641024,0.5517241379310345,0.47058823529411764,29,39
silence_present,0.0,0.0,0.0,12,0,0.18181818181818182,0.16666666666666666,0.17391304347826086,12,11,0.18181818181818182,0.16666666666666666,0.17391304347826086,12,11
